date,bed,bath,price,broker,street,city,state_name,zip_code,house_sqft
2024-08-29,4.0,4.0,415000.0,Unknown,2004 W  23rd Ct, Panama City,Florida,32405,2520.0
2024-08-29,2.0,2.0,58000.0,Unknown,5390 Webb St, Graceville,Florida,32440,704.0
2024-08-29,3.0,3.0,375000.0,Coldwell Banker Hartung,6761 Landover Cir, Tallahassee,Florida,32317,1926.0
2024-08-29,0.0,0.0,190000.0,"EXP Realty, LLC",1701 S  Fairfield Dr, Perdido Key,Florida,32507,1132.0
2024-08-29,3.0,3.0,233900.0,"D R Horton Realty of NW Florida, LLC",6274 June Bug Dr, Milton,Florida,32583,1205.0
2024-08-29,4.0,4.0,416402.0,"ADAMS HOME REALTY, INC",6528 Benelli Dr, Milton,Florida,32570,3044.0
2024-08-28,2.0,2.0,455000.0,Unknown,122 3rd St, Mexico Beach,Florida,32456,1422.0
2024-08-28,2.0,2.0,325000.0,Unknown,4026 Kirkpatrick Rd, Southport,Florida,32409,1192.0
2024-08-28,2.0,2.0,255000.0,Unknown,6527 Harbour Blvd, Panama City Beach,Florida,32407,1143.0
2024-08-28,1.0,1.0,295000.0,Unknown,8743 Thomas Dr #926, Panama City Beach,Florida,32408,740.0
2024-08-28,4.0,4.0,325000.0,Unknown,305 E  Gulf Blvd, Panama City Beach,Florida,32413,1778.0
2024-08-28,2.0,2.0,250000.0,JANET COULTER REALTY,520 Richard Jackson Blvd #2810, Panama City Beach,Florida,32407,1254.0
2024-08-28,3.0,3.0,330500.0,"EXP Realty, LLC",8564 Westview Ln, Pensacola,Florida,32514,1820.0
2024-08-28,3.0,3.0,173000.0,Better Homes And Gardens Real Estate Main Street Properties,6905 Woodley Dr, Pensacola,Florida,32503,1370.0
2024-08-28,4.0,4.0,749000.0,Kuhn Realty,3300 Baisden Rd, Pensacola,Florida,32503,2630.0
2024-08-28,3.0,3.0,525000.0,American Valor Realty LLC,8021 Quiet Dr, Pensacola,Florida,32526,2681.0
2024-08-28,3.0,3.0,260000.0,Levin Rinke Realty,320 Tallow Tree Dr, Pensacola,Florida,32506,1455.0
2024-08-28,3.0,3.0,183000.0,"PHD Real Estate, LLC",3991 Macks Rd, Century,Florida,32535,1380.0
2024-08-28,2.0,2.0,475000.0,Bluewater Realty Group,914 Gulf Shore Dr, Carrabelle,Florida,32322,1188.0
2024-08-28,4.0,4.0,253000.0,Unknown,3009 Amelia Dr, Marianna,Florida,32446,1864.0
2024-08-28,3.0,3.0,525000.0,Hum Real Estate,753 Hawkins Rd, Monticello,Florida,32344,2278.0
2024-08-28,3.0,3.0,348753.0,Keller Williams Town & Country,1270 Burnwell Rd, Tallahassee,Florida,32317,1959.0
2024-08-28,2.0,2.0,197500.0,Keller Williams Town & Country,232 Whetherbine Way W #B, Tallahassee,Florida,32301,1008.0
2024-08-28,2.0,2.0,185000.0,Keller Williams Town & Country,179 Whetherbine Way W, Tallahassee,Florida,32301,1088.0
2024-08-28,2.0,2.0,185000.0,Spotlight Real Estate,468 High Point Ln, Tallahassee,Florida,32301,984.0
2024-08-28,3.0,3.0,302000.0,Joe Manausa Real Estate,6436 Cavalcade Trl, Tallahassee,Florida,32309,1498.0
2024-08-28,3.0,3.0,307000.0,Ekk Realty Group,2720 Leary Ln, Tallahassee,Florida,32303,1485.0
