date,house_size,bed,bath,price,broker,street,city,state_name,zip_code
"AUG 29, 2024","2,520 sqft (on 0.44 acres)",4bd,4bd,"$415,000",,2004 W  23rd Ct, Panama City,Florida,32405
"AUG 29, 2024",704 sqft (on 0.33 acres),2bd,2bd,"$58,000",,5390 Webb St, Graceville,Florida,32440
"AUG 29, 2024","1,926 sqft (on 0.45 acres)",3bd,3bd,"$375,000",Coldwell Banker Hartung,6761 Landover Cir, Tallahassee,Florida,32317
"AUG 29, 2024","1,132 sqft",Studio,Studio,"$190,000","EXP Realty, LLC",1701 S  Fairfield Dr, Perdido Key,Florida,32507
"AUG 29, 2024","1,205 sqft",3bd,3bd,"$233,900","D R Horton Realty of NW Florida, LLC",6274 June Bug Dr, Milton,Florida,32583
"AUG 29, 2024","3,044 sqft (on 0.34 acres)",4bd,4bd,"$416,402","ADAMS HOME REALTY, INC",6528 Benelli Dr, Milton,Florida,32570
"AUG 29, 2024",,,,"$30,000",Waypoint Properties,Lot 34&35 Menomini St #3, Crawfordville,Florida,32327
"AUG 29, 2024",,,,"$2,650,000",Compass,Ac29 Sea Garden St, Alys Beach,Florida,32461
"AUG 28, 2024","1,422 sqft",2bd,2bd,"$455,000",,122 3rd St, Mexico Beach,Florida,32456
"AUG 28, 2024","1,192 sqft",2bd,2bd,"$325,000",,4026 Kirkpatrick Rd, Southport,Florida,32409
"AUG 28, 2024","1,143 sqft",2bd,2bd,"$255,000",,6527 Harbour Blvd, Panama City Beach,Florida,32407
"AUG 28, 2024",740 sqft,1bd,1bd,"$295,000",,8743 Thomas Dr #926, Panama City Beach,Florida,32408
"AUG 28, 2024","1,778 sqft (on 0.25 acres)",4bd,4bd,"$325,000",,305 E  Gulf Blvd, Panama City Beach,Florida,32413
"AUG 28, 2024","1,254 sqft",2bd,2bd,"$250,000",JANET COULTER REALTY,520 Richard Jackson Blvd #2810, Panama City Beach,Florida,32407
"AUG 28, 2024","1,820 sqft",3bd,3bd,"$330,500","EXP Realty, LLC",8564 Westview Ln, Pensacola,Florida,32514
"AUG 28, 2024","1,370 sqft",3bd,3bd,"$173,000",Better Homes And Gardens Real Estate Main Street Properties,6905 Woodley Dr, Pensacola,Florida,32503
"AUG 28, 2024","2,630 sqft (on 0.38 acres)",4bd,4bd,"$749,000",Kuhn Realty,3300 Baisden Rd, Pensacola,Florida,32503
"AUG 28, 2024","2,681 sqft (on 1.82 acres)",3bd,3bd,"$525,000",American Valor Realty LLC,8021 Quiet Dr, Pensacola,Florida,32526
"AUG 28, 2024","1,455 sqft (on 0.75 acres)",3bd,3bd,"$260,000",Levin Rinke Realty,320 Tallow Tree Dr, Pensacola,Florida,32506
"AUG 28, 2024","1,380 sqft (on 1 acre)",3bd,3bd,"$183,000","PHD Real Estate, LLC",3991 Macks Rd, Century,Florida,32535
"AUG 28, 2024","1,188 sqft (on 0.57 acres)",2bd,2bd,"$475,000",Bluewater Realty Group,914 Gulf Shore Dr, Carrabelle,Florida,32322
"AUG 28, 2024","1,864 sqft (on 0.40 acres)",4bd,4bd,"$253,000",,3009 Amelia Dr, Marianna,Florida,32446
"AUG 28, 2024","2,278 sqft (on 5 acres)",3bd,3bd,"$525,000",Hum Real Estate,753 Hawkins Rd, Monticello,Florida,32344
"AUG 28, 2024","1,959 sqft (on 0.35 acres)",3bd,3bd,"$348,753",Keller Williams Town & Country,1270 Burnwell Rd, Tallahassee,Florida,32317
"AUG 28, 2024","1,008 sqft (on 0.30 acres)",2bd,2bd,"$197,500",Keller Williams Town & Country,232 Whetherbine Way W #B, Tallahassee,Florida,32301
"AUG 28, 2024","1,088 sqft",2bd,2bd,"$185,000",Keller Williams Town & Country,179 Whetherbine Way W, Tallahassee,Florida,32301
"AUG 28, 2024",984 sqft,2bd,2bd,"$185,000",Spotlight Real Estate,468 High Point Ln, Tallahassee,Florida,32301
"AUG 28, 2024","1,498 sqft (on 0.31 acres)",3bd,3bd,"$302,000",Joe Manausa Real Estate,6436 Cavalcade Trl, Tallahassee,Florida,32309
"AUG 28, 2024","1,485 sqft (on 0.32 acres)",3bd,3bd,"$307,000",Ekk Realty Group,2720 Leary Ln, Tallahassee,Florida,32303
"AUG 28, 2024","2,902 sqft (on 0.44 acres)",5bd,5bd,"$349,000",Broger Real Estate Services,1403 Raa Ave, Tallahassee,Florida,32303
"AUG 28, 2024","1,144 sqft (on 0.30 acres)",3bd,3bd,"$225,000",Eden & Company,1119 Beachum Dr, Tallahassee,Florida,32301
"AUG 28, 2024","1,806 sqft",4bd,4bd,"$295,000",La Bella Vita Property Group LLC,621 Lloyd St, Fort Walton Beach,Florida,32547
"AUG 28, 2024","2,244 sqft (on 0.28 acres)",4bd,4bd,"$515,000",ERA American Real Estate,107 1st Ave, Shalimar,Florida,32579
"AUG 28, 2024","2,162 sqft (on 0.46 acres)",3bd,3bd,"$255,000",COLDWELL BANKER REALTY,413 Long Dr, Crestview,Florida,32539
"AUG 28, 2024","2,024 sqft (on 0.34 acres)",3bd,3bd,"$549,900",Ruckel Properties Inc,1700 Crestone Cv, Niceville,Florida,32578
"AUG 28, 2024","1,772 sqft",2bd,2bd,"$340,000",Keller Williams Realty Nville,79 Marina Cove Dr, Niceville,Florida,32578
"AUG 28, 2024","1,025 sqft",3bd,3bd,"$217,000",KELLER WILLIAMS REALTY GULF COAST,4397 Pine Villa Cir, Pace,Florida,32571
"AUG 28, 2024","1,448 sqft (on 2.29 acres)",3bd,3bd,"$230,000",,3190 Carter Cir, Chipley,Florida,32428
"AUG 28, 2024","2,302 sqft (on 0.35 acres)",4bd,4bd,"$485,000",,1218 Huntington Ridge Rd, Lynn Haven,Florida,32444
"AUG 28, 2024","2,239 sqft",4bd,4bd,"$1,025,000",Keller Williams Realty Destin,324 E  Seahorse Cir, Santa Rosa Beach,Florida,32459
"AUG 28, 2024","1,568 sqft (on 0.43 acres)",3bd,3bd,"$165,000",COTTON REAL ESTATE,3478 Jabro Dr, Pace,Florida,32571
"AUG 28, 2024","1,788 sqft",3bd,3bd,"$265,000",Fathom Realty FL LLC,3392 Two Sisters Way, Pensacola,Florida,32505
"AUG 28, 2024","3,233 sqft (on 1.04 acres)",5bd,5bd,"$1,700,000",Compass,391 Walton Way, Miramar Beach,Florida,32550
"AUG 28, 2024","1,582 sqft",4bd,4bd,"$308,000",Five Star Realty Group LLC,261 County Line Rd, Niceville,Florida,32578
"AUG 28, 2024","2,848 sqft (on 1.11 acres)",4bd,4bd,"$550,000",Re/Max Professionals Realty,4217 Rabbit Pond Rd, Tallahassee,Florida,32309
